id	idh	name	tag
107	006B	0x06B	FLR
108	006C	0x06C	FLR
109	006D	0x06D	FLR
110	006E	0x06E	FLR
111	006F	0x06F	FLR
112	0070	Leather Shoes	Weapon
113	0071	Red-Leaf Gusoku	Weapon
114	0072	Shield Boots	Weapon
115	0073	Nanman Gusoku	Weapon
116	0074	Punk Shoes	Weapon
117	0075	Hard Boots	Weapon
118	0076	Skill Greaves	Weapon
119	0077	Adios Shoes	Weapon
120	0078	Nice Shoes	Weapon
121	0079	Cowboy Boots	Weapon
122	007A	Heavy Heels	Weapon
123	007B	Bishamonten	Weapon
124	007C	Amami Legs	Weapon
125	007D	Furinkazan	Weapon
126	007E	Bucking Broncos	Weapon
127	007F	Sleipnir	Weapon
128	0080	Four Beasts	Weapon
129	0081	Vampire Shoes	Weapon
130	0082	Mjolnir Boots	Weapon
131	0083	Vidar's Boots	Weapon
132	0084	Kintabi Gusoku	Weapon
133	0085	Stella Greaves	Weapon
134	0086	Hero Legs	Weapon
135	0087	Demon Boots	Weapon
136	0088	Kehaya	Weapon
137	0089	Gigant Fall	Weapon
138	008A	Peerless Heels	Weapon
139	008B	Judgment Boots	Weapon
140	008C	Steel Slippers	Weapon
141	008D	Platform Sneaks	Weapon
142	008E	Moses Sandals	Weapon
143	008F	0x08F	FLR
144	0090	0x090	FLR
145	0091	0x091	FLR
146	0092	0x092	FLR
147	0093	0x093	FLR
148	0094	0x094	FLR
149	0095	0x095	FLR
150	0096	Folding Chair	Weapon
151	0097	Steel Plate	Weapon
152	0098	Hard Board	Weapon
153	0099	Photon Plate	Weapon
154	009A	Power Plate	Weapon
155	009B	Alloyed Plate	Weapon
156	009C	Thunder Plate	Weapon
157	009D	Gorgon Plate	Weapon
158	009E	Scutum	Weapon
159	009F	Barbarian Shield	Weapon
160	00A0	Golden Plate	Weapon
161	00A1	Demon Shield	Weapon
162	00A2	Mega Buckler	Weapon
163	00A3	Oni-Gawara	Weapon
164	00A4	Bath Lid	Weapon
165	00A5	Death Scudetto	Weapon
166	00A6	Phalanx	Weapon
167	00A7	Sol Breaker	Weapon
168	00A8	Asturias	Weapon
169	00A9	Black Targe	Weapon
170	00AA	Aegis Shield	Weapon
171	00AB	Dullahan	Weapon
172	00AC	Christ Mirror	Weapon
173	00AD	Yasogami Desk	Weapon
174	00AE	Iron Plate	Weapon
175	00AF	Perun Plate	Weapon
176	00B0	0x0B0	FLR
177	00B1	0x0B1	FLR
178	00B2	0x0B2	FLR
179	00B3	0x0B3	FLR
180	00B4	0x0B4	FLR
181	00B5	0x0B5	FLR
182	00B6	0x0B6	FLR
183	00B7	Nambu 2	Weapon
184	00B8	Peacemaker	Weapon
185	00B9	Raging Bull	Weapon
186	00BA	Crimson Dirge	Weapon
187	00BB	.44 Anaconda	Weapon
188	00BC	Magatsu Kiba	Weapon
189	00BD	Chrome Heart	Weapon
190	00BE	Jovian Thunder	Weapon
191	00BF	Unlimited	Weapon
192	00C0	Camel Red	Weapon
193	00C1	Algernon	Weapon
194	00C2	From Zero	Weapon
195	00C3	Judge of Hell	Weapon
196	00C4	Athena Kiss R	Weapon
197	00C5	Black Hole	Weapon
198	00C6	0x0C6	FLR
199	00C7	0x0C7	FLR
200	00C8	0x0C8	FLR
201	00C9	0x0C9	FLR
202	00CA	0x0CA	FLR
203	00CB	0x0CB	FLR
204	00CC	0x0CC	FLR
205	00CD	0x0CD	FLR
206	00CE	0x0CE	FLR
207	00CF	0x0CF	FLR
208	00D0	0x0D0	FLR
209	00D1	0x0D1	FLR
210	00D2	0x0D2	FLR
211	00D3	0x0D3	FLR
212	00D4	0x0D4	FLR
213	00D5	0x0D5	FLR
214	00D6	0x0D6	FLR
215	00D7	0x0D7	FLR
216	00D8	0x0D8	FLR
217	00D9	Spikey Punch	Weapon
218	00DA	Mewling Claw	Weapon
219	00DB	Bear Claw	Weapon
220	00DC	Drunken Fist	Weapon
221	00DD	Typhoon Claw	Weapon
222	00DE	Mail Duster	Weapon
223	00DF	Air Break	Weapon
224	00E0	Poison Claw	Weapon
225	00E1	Assault Spike	Weapon
226	00E2	Gehenna Claw	Weapon
227	00E3	Cute Assassin	Weapon
228	00E4	Chain Glove	Weapon
229	00E5	Fuuma Bundou	Weapon
230	00E6	Strega Claw	Weapon
231	00E7	Pure Assassin	Weapon
232	00E8	Needle Spike	Weapon
233	00E9	Seiryu Claw	Weapon
234	00EA	Jakotsu Claw	Weapon
235	00EB	Shitisei Jakotsu	Weapon
236	00EC	Platinum Claw	Weapon
237	00ED	The Ripper	Weapon
238	00EE	Seireiga	Weapon
239	00EF	0x0EF	FLR
240	00F0	0x0F0	FLR
241	00F1	0x0F1	FLR
242	00F2	0x0F2	FLR
243	00F3	0x0F3	FLR
244	00F4	0x0F4	FLR
245	00F5	0x0F5	FLR
246	00F6	0x0F6	FLR
247	00F7	0x0F7	FLR
248	00F8	0x0F8	FLR
249	00F9	0x0F9	FLR
250	00FA	0x0FA	FLR
251	00FB	0x0FB	FLR
252	00FC	0x0FC	FLR
253	00FD	0x0FD	FLR
254	00FE	Bare Hands	Weapon
255	00FF	0x0FF	FLR
256	0100	Blank	BLN
257	0101	T-Shirt	Armor
258	0102	Long T-Shirt	Armor
259	0103	Tank Top	Armor|Bugged
260	0104	Lace Blouse	Armor
261	0105	Gothic Shirt	Armor
262	0106	Skull T-Shirt	Armor
263	0107	Pretty Suit	Armor
264	0108	Lace Camisole	Armor
265	0109	0x109	FLR
266	010A	Chain Mail	Armor
267	010B	Kevlar Vest	Armor
268	010C	Survival Guard	Armor
269	010D	Metal Jacket	Armor
270	010E	Lion Happi	Armor
271	010F	Charm Robe	Armor
272	0110	0x110	FLR
273	0111	0x111	FLR
274	0112	0x112	FLR
275	0113	0x113	FLR
276	0114	0x114	FLR
277	0115	0x115	FLR
278	0116	0x116	FLR
279	0117	0x117	FLR
280	0118	0x118	FLR
281	0119	0x119	FLR
282	011A	0x11A	FLR
283	011B	0x11B	FLR
284	011C	0x11C	FLR
285	011D	0x11D	FLR
286	011E	0x11E	FLR
287	011F	Knifeproof Coat	Armor
288	0120	Battle Camisole	Armor
289	0121	Doumaru	Armor
290	0122	Miori Shirt	Armor
291	0123	0x123	FLR
292	0124	0x124	FLR
293	0125	Desperate Plate	Armor
294	0126	Combat Dress	Armor
295	0127	Gentleman's Tux	Armor
296	0128	Hard Bolero	Armor
297	0129	0x129	FLR
298	012A	0x12A	FLR
299	012B	0x12B	FLR
300	012C	0x12C	FLR
301	012D	0x12D	FLR
302	012E	0x12E	FLR
303	012F	0x12F	FLR
304	0130	0x130	FLR
305	0131	0x131	FLR
306	0132	0x132	FLR
307	0133	Black Stone Mail	Armor
308	0134	Wolf Tunic	Armor
309	0135	Knight Scale	Armor
310	0136	Action Vest	Armor
311	0137	0x137	FLR
312	0138	0x138	FLR
313	0139	0x139	FLR
314	013A	0x13A	FLR
315	013B	Hard Armor	Armor
316	013C	Ame-Otoko	Armor
317	013D	Zero Kosode	Armor
318	013E	0x13E	FLR
319	013F	0x13F	FLR
320	0140	0x140	FLR
321	0141	0x141	FLR
322	0142	0x142	FLR
323	0143	0x143	FLR
324	0144	0x144	FLR
325	0145	0x145	FLR
326	0146	0x146	FLR
327	0147	0x147	FLR
328	0148	Plate Mail	Armor
329	0149	Capital Robe	Armor
330	014A	Ama-Gakure	Armor
331	014B	Amakaze Happi	Armor
332	014C	0x14C	FLR
333	014D	0x14D	FLR
334	014E	Passion Sweats	Armor
335	014F	Steel Panier	Armor
336	0150	Jingi Fundoshi	Armor
337	0151	Breeze Tutu	Armor
338	0152	Haikara Shirt	Armor
339	0153	0x153	FLR
340	0154	0x154	FLR
341	0155	0x155	FLR
342	0156	0x156	FLR
343	0157	0x157	FLR
344	0158	0x158	FLR
345	0159	0x159	FLR
346	015A	0x15A	FLR
347	015B	Kuroito-odoshi	Armor
348	015C	Divine Blouse	Armor
349	015D	0x15D	FLR
350	015E	Purple Suit	Armor
351	015F	Talisman Cape	Armor
352	0160	Amamusha Armor	Armor
353	0161	Invincible Mini	Armor
354	0162	Niagra Climber	Armor
355	0163	Armada Bustier	Armor
356	0164	Hurricane Coat	Armor
357	0165	Uin Haori	Armor
358	0166	Paladin Armor	Armor
359	0167	0x167	FLR
360	0168	0x168	FLR
361	0169	0x169	FLR
362	016A	0x16A	FLR
363	016B	0x16B	FLR
364	016C	0x16C	FLR
365	016D	0x16D	FLR
366	016E	0x16E	FLR
367	016F	Dragon Scale	Armor
368	0170	Mythos Robe	Armor
369	0171	Stylish Kimono	Armor
370	0172	Lan Ling Wang	Armor
371	0173	0x173	FLR
372	0174	Ame-agari Kesshi	Armor
373	0175	Elint Duffle	Armor
374	0176	Oracle Gown	Armor
375	0177	Rune Dress	Armor
376	0178	Charm Drape	Armor
377	0179	Peach Battlesuit	Armor
378	017A	Red Battlesuit	Armor
379	017B	0x17B	FLR
380	017C	0x17C	FLR
381	017D	0x17D	FLR
382	017E	0x17E	FLR
383	017F	0x17F	FLR
384	0180	0x180	FLR
385	0181	0x181	FLR
386	0182	0x182	FLR
387	0183	1000-Stud Coat	Armor
388	0184	Kikusui Awase	Armor
389	0185	Mikagura Vest	Armor
390	0186	Kotodama Cape	Armor
391	0187	Komaryo Uchinugi	Armor
392	0188	Shinra Robe	Armor
393	0189	0x189	FLR
394	018A	Surcoat	Armor
395	018B	Mizuha Armor	Armor
396	018C	Tsukuyomi Noshi	Armor
397	018D	Amaterasu Hitoe	Armor
398	018E	Angel Skirt	Armor
399	018F	0x18F	FLR
400	0190	0x190	FLR
401	0191	0x191	FLR
402	0192	0x192	FLR
403	0193	0x193	FLR
404	0194	0x194	FLR
405	0195	0x195	FLR
406	0196	0x196	FLR
407	0197	Opera Coat	Armor
408	0198	Yomi Sleeves	Armor
409	0199	Lorica Hamata	Armor
410	019A	Emery Meisen	Armor
411	019B	Full Jin-Baori	Armor
412	019C	Haten Robe	Armor
413	019D	0x19D	FLR
414	019E	Nubatama Suit	Armor
415	019F	Uzume Robe	Armor
416	01A0	Sonidori Wear	Armor
417	01A1	Mandala Robe	Armor
418	01A2	Godly Robe	Armor
419	01A3	0x1A3	FLR
420	01A4	White Joue	Armor|HF
421	01A5	Fire Joue	Armor|HF
422	01A6	Ice Joue	Armor|HF
423	01A7	Wind Joue	Armor|HF
424	01A8	Lightning Joue	Armor|HF
425	01A9	Fire Repel Joue	Armor|HF
426	01AA	Ice Repel Joue	Armor|HF
427	01AB	Wind Repel Joue	Armor|HF
428	01AC	Elec Repel Joue	Armor|HF
429	01AD	Fire Drain Joue	Armor|HF
430	01AE	Ice Drain Joue	Armor|HF
431	01AF	Wind Drain Joue	Armor|HF
432	01B0	Elec Drain Joue	Armor|HF
433	01B1	0x1B1	FLR
434	01B2	0x1B2	FLR
435	01B3	0x1B3	FLR
436	01B4	0x1B4	FLR
437	01B5	0x1B5	FLR
438	01B6	0x1B6	FLR
439	01B7	0x1B7	FLR
440	01B8	0x1B8	FLR
441	01B9	0x1B9	FLR
442	01BA	0x1BA	FLR
443	01BB	0x1BB	FLR
444	01BC	0x1BC	FLR
445	01BD	0x1BD	FLR
446	01BE	0x1BE	FLR
447	01BF	0x1BF	FLR
448	01C0	0x1C0	FLR
449	01C1	0x1C1	FLR
450	01C2	0x1C2	FLR
451	01C3	0x1C3	FLR
452	01C4	0x1C4	FLR
453	01C5	0x1C5	FLR
454	01C6	0x1C6	FLR
455	01C7	0x1C7	FLR
456	01C8	0x1C8	FLR
457	01C9	0x1C9	FLR
458	01CA	0x1CA	FLR
459	01CB	0x1CB	FLR
460	01CC	0x1CC	FLR
461	01CD	0x1CD	FLR
462	01CE	0x1CE	FLR
463	01CF	0x1CF	FLR
464	01D0	0x1D0	FLR
465	01D1	0x1D1	FLR
466	01D2	0x1D2	FLR
467	01D3	0x1D3	FLR
468	01D4	0x1D4	FLR
469	01D5	0x1D5	FLR
470	01D6	0x1D6	FLR
471	01D7	0x1D7	FLR
472	01D8	0x1D8	FLR
473	01D9	0x1D9	FLR
474	01DA	0x1DA	FLR
475	01DB	0x1DB	FLR
476	01DC	0x1DC	FLR
477	01DD	0x1DD	FLR
478	01DE	0x1DE	FLR
479	01DF	0x1DF	FLR
480	01E0	0x1E0	FLR
481	01E1	0x1E1	FLR
482	01E2	0x1E2	FLR
483	01E3	0x1E3	FLR
484	01E4	0x1E4	FLR
485	01E5	0x1E5	FLR
486	01E6	0x1E6	FLR
487	01E7	0x1E7	FLR
488	01E8	0x1E8	FLR
489	01E9	0x1E9	FLR
490	01EA	0x1EA	FLR
491	01EB	0x1EB	FLR
492	01EC	0x1EC	FLR
493	01ED	0x1ED	FLR
494	01EE	0x1EE	FLR
495	01EF	0x1EF	FLR
496	01F0	0x1F0	FLR
497	01F1	0x1F1	FLR
498	01F2	0x1F2	FLR
499	01F3	0x1F3	FLR
500	01F4	0x1F4	FLR
501	01F5	0x1F5	FLR
502	01F6	0x1F6	FLR
503	01F7	0x1F7	FLR
504	01F8	0x1F8	FLR
505	01F9	0x1F9	FLR
506	01FA	0x1FA	FLR
507	01FB	0x1FB	FLR
508	01FC	0x1FC	FLR
509	01FD	0x1FD	FLR
510	01FE	0x1FE	FLR
511	01FF	0x1FF	FLR
512	0200	Blank	BLN
513	0201	Wristwatch	Acc
514	0202	Plain Ring	Acc
515	0203	Aluminum Badge	Acc
516	0204	Hair Band	Acc
517	0205	Spiral Earrings	Acc
518	0206	Silver Locket	Acc
519	0207	Bear Ears	Acc
520	0208	Ribbon	Acc
521	0209	0x209	FLR
522	020A	Worn Rosary	Acc
523	020B	Fire Vow	Acc
524	020C	Flame Vow	Acc
525	020D	Blaze Vow	Acc
526	020E	Oven Vow	Acc
527	020F	Kagutsuchi Vow	Acc
528	0210	Ice Vow	Acc
529	0211	Snow Vow	Acc
530	0212	Blizzard Vow	Acc
531	0213	Icicle Vow	Acc
532	0214	Kuraokami Vow	Acc
533	0215	Wind Vow	Acc
534	0216	Gust Vow	Acc
535	0217	Storm Vow	Acc
536	0218	Gale Vow	Acc
537	0219	Shinatobe Vow	Acc
538	021A	Thunder Vow	Acc
539	021B	Spark Vow	Acc
540	021C	Volt Vow	Acc
541	021D	Lightning Vow	Acc
542	021E	Takefutsu Vow	Acc
543	021F	Worn Talisman	Acc
544	0220	Fire Pin	Acc
545	0221	Flame Pin	Acc
546	0222	Blaze Pin	Acc
547	0223	Oven Pin	Acc
548	0224	Kagutsuchi Pin	Acc
549	0225	Ice Pin	Acc
550	0226	Snow Pin	Acc
551	0227	Blizzard Pin	Acc
552	0228	Icicle Pin	Acc
553	0229	Kuraokami Pin	Acc
554	022A	Wind Pin	Acc
555	022B	Gust Pin	Acc
556	022C	Storm Pin	Acc
557	022D	Gale Pin	Acc
558	022E	Shinatobe Pin	Acc
559	022F	Thunder Pin	Acc
560	0230	Spark Pin	Acc
561	0231	Volt Pin	Acc
562	0232	Lightning Pin	Acc
563	0233	Takefutsu Pin	Acc
564	0234	Worn Evil Eye	Acc
565	0235	Marksman Eye 1	Acc
566	0236	Marksman Eye 2	Acc
567	0237	Marksman Eye 3	Acc
568	0238	Marksman Eye 4	Acc
569	0239	Marksman Eye 5	Acc
570	023A	Old Prayer Beads	Acc
571	023B	Sight Beads 1	Acc
572	023C	Sight Beads 2	Acc
573	023D	Sight Beads 3	Acc
574	023E	Sight Beads 4	Acc
575	023F	Sight Beads 5	Acc
576	0240	Disinfectant	Acc
577	0241	Tranquil Buddha	Acc
578	0242	Bravery Vessel	Acc
579	0243	Healthy Recipe	Acc
580	0244	Kid's Hachimaki	Acc
581	0245	Cool Beads	Acc
582	0246	Safety Belt	Acc
583	0247	Disguise Mask	Acc
584	0248	Gas Mask	Acc
585	0249	Confusion Hat	Acc
586	024A	Bold Ball	Acc
587	024B	Healthy Homa	Acc
588	024C	Pitch Pipes	Acc
589	024D	Frozen Rose	Acc
590	024E	Alarm Clock	Acc
591	024F	Mask of Truth	Acc
592	0250	Book of Ruin	Acc
593	0251	Book of Serenity	Acc
594	0252	Book of the Void	Acc
595	0253	White Feather	Acc
596	0254	Black Feather	Acc
597	0255	Falcon Eye	Acc
598	0256	Eagle Eye	Acc
599	0257	Fire Suppressor	Acc
600	0258	Eye of Flame	Acc
601	0259	Ice Suppressor	Acc
602	025A	Eye of Ice	Acc
603	025B	Wind Suppressor	Acc
604	025C	Eye of Wind	Acc
605	025D	Volt Suppressor	Acc
606	025E	Eye of Thunder	Acc
607	025F	Omnipotent Orb	Acc
608	0260	Cat Whisker	Acc
609	0261	0x261	FLR
610	0262	0x262	FLR
611	0263	0x263	FLR
612	0264	0x264	FLR
613	0265	0x265	FLR
614	0266	0x266	FLR
615	0267	Revenge Ring	Acc
616	0268	Reprisal Chain	Acc
617	0269	Retribution Mask	Acc
618	026A	Land Badge	Acc
619	026B	Earth Badge	Acc
620	026C	Space Badge	Acc
621	026D	Mage's Mark	Acc
622	026E	Sorcerer's Mark	Acc
623	026F	Wizard's Mark	Acc
624	0270	Awareness Note	Acc
625	0271	Sigma Drive	Acc
626	0272	Omega Drive	Acc
627	0273	Barbaric Bracers	Acc
628	0274	Divine Pillar	Acc
629	0275	Chakra Ring	Acc
630	0276	Rudra Ring	Acc
631	0277	Blessed Hands	Acc
632	0278	Patient Collar	Acc
633	0279	Rebirth Prophecy	Acc
634	027A	Headband	Acc
635	027B	Power Belt	Acc
636	027C	Power Tasuki	Acc
637	027D	Spirit Hachimaki	Acc
638	027E	Festival Drum	Acc
639	027F	Power Muscle	Acc
640	0280	Lizard Charm	Acc
641	0281	Crow Charm	Acc
642	0282	Bat Charm	Acc
643	0283	Black Cat Charm	Acc
644	0284	Witch Charm	Acc
645	0285	Demon Charm	Acc
646	0286	Amulet	Acc
647	0287	Talisman	Acc
648	0288	Guard Amulet	Acc
649	0289	Iron Charm	Acc
650	028A	Guard Rosary	Acc
651	028B	Defense Essence	Acc
652	028C	Feather Strap	Acc
653	028D	Wing Strap	Acc
654	028E	Flight Strap	Acc
655	028F	Steed Strap	Acc
656	0290	Pegasus Strap	Acc
657	0291	Speed Star	Acc
658	0292	Lucky Coin	Acc
659	0293	Rabbit Foot	Acc
660	0294	Silver Spoon	Acc
661	0295	Maneki Neko	Acc
662	0296	Wooden Ebisu	Acc
663	0297	Lucky Seven	Acc
664	0298	Feng Shui Brace	Acc
665	0299	Kimyaku Brace	Acc
666	029A	Ryumyaku Brace	Acc
667	029B	Reisen Brace	Acc
668	029C	Ouryu Brace	Acc
669	029D	God's Love	Acc
670	029E	Vigor Fob	Acc
671	029F	Life Fob	Acc
672	02A0	Amaterasu Fob	Acc
673	02A1	Plum Potpourri	Acc
674	02A2	Soul Potpourri	Acc
675	02A3	Moon Potpourri	Acc
676	02A4	Fire Bangle	Acc
677	02A5	Agni Bangle	Acc
678	02A6	Ice Bangle	Acc
679	02A7	Varuna Bangle	Acc
680	02A8	Thunder Bangle	Acc
681	02A9	Indra Bangle	Acc
682	02AA	Wind Bangle	Acc
683	02AB	Vayu Bangle	Acc
684	02AC	0x2AC	FLR
685	02AD	Parting Stone	Acc|HF
686	02AE	0x2AE	FLR
687	02AF	Pain Stone	Acc|HF
688	02B0	Grief Stone	Acc|HF
689	02B1	Sorrow Stone	Acc|HF
690	02B2	Love Stone	Acc|HF
691	02B3	Suffering Stone	Acc|HF
692	02B4	Anger Stone	Acc|HF
693	02B5	Loneliness Stone	Acc|HF
694	02B6	Invitation Stone	Acc|HF
695	02B7	0x2B7	FLR
696	02B8	0x2B8	FLR
697	02B9	0x2B9	FLR
698	02BA	0x2BA	FLR
699	02BB	0x2BB	FLR
700	02BC	0x2BC	FLR
701	02BD	0x2BD	FLR
702	02BE	0x2BE	FLR
703	02BF	0x2BF	FLR
704	02C0	0x2C0	FLR
705	02C1	0x2C1	FLR
706	02C2	0x2C2	FLR
707	02C3	0x2C3	FLR
708	02C4	0x2C4	FLR
709	02C5	0x2C5	FLR
710	02C6	0x2C6	FLR
711	02C7	0x2C7	FLR
712	02C8	0x2C8	FLR
713	02C9	0x2C9	FLR
714	02CA	0x2CA	FLR
715	02CB	0x2CB	FLR
716	02CC	0x2CC	FLR
717	02CD	0x2CD	FLR
718	02CE	0x2CE	FLR
719	02CF	0x2CF	FLR
720	02D0	0x2D0	FLR
721	02D1	0x2D1	FLR
722	02D2	0x2D2	FLR
723	02D3	0x2D3	FLR
724	02D4	0x2D4	FLR
725	02D5	0x2D5	FLR
726	02D6	0x2D6	FLR
727	02D7	0x2D7	FLR
728	02D8	0x2D8	FLR
729	02D9	0x2D9	FLR
730	02DA	0x2DA	FLR
731	02DB	0x2DB	FLR
732	02DC	0x2DC	FLR
733	02DD	0x2DD	FLR
734	02DE	0x2DE	FLR
735	02DF	0x2DF	FLR
736	02E0	0x2E0	FLR
737	02E1	0x2E1	FLR
738	02E2	0x2E2	FLR
739	02E3	0x2E3	FLR
740	02E4	0x2E4	FLR
741	02E5	0x2E5	FLR
742	02E6	0x2E6	FLR
743	02E7	0x2E7	FLR
744	02E8	0x2E8	FLR
745	02E9	0x2E9	FLR
746	02EA	0x2EA	FLR
747	02EB	0x2EB	FLR
748	02EC	0x2EC	FLR
749	02ED	0x2ED	FLR
750	02EE	0x2EE	FLR
751	02EF	0x2EF	FLR
752	02F0	0x2F0	FLR
753	02F1	0x2F1	FLR
754	02F2	Portrait Medal	Acc
755	02F3	Paper Armband	Acc
756	02F4	Bead Ring	Acc
757	02F5	Partial Award	Acc
758	02F6	Reader King	Acc
759	02F7	Macho Medal	Acc
760	02F8	Fluffy Muffler	Acc
761	02F9	Leather Keychain	Acc
762	02FA	Silver Bangle	Acc
763	02FB	Handmade Watch	Acc
764	02FC	Rugged Ring	Acc
765	02FD	Fancy Mini-Car	Acc
766	02FE	Hand-Knit Mitten	Acc
767	02FF	0x2FF	FLR
768	0300	Blank	BLN
769	0301	Peach Seed	Expend
770	0302	Medicine	Expend
771	0303	Ointment	Expend
772	0304	Antibiotic Gel	Expend
773	0305	Life Stone	Expend
774	0306	Bead	Expend
775	0307	Value Medicine	Expend
776	0308	Medical Kit	Expend
777	0309	Macca Leaf	Expend
778	030A	Bead Chain	Expend
779	030B	Soul Drop	Expend
780	030C	Snuff Soul	Expend
781	030D	Chewing Soul	Expend
782	030E	Soul Food	Expend
783	030F	Revival Bead	Expend
784	0310	Balm of Life	Expend
785	0311	Royal Jelly	Expend
786	0312	Dokudami Tea	Expend
787	0313	Mouthwash	Expend
788	0314	Sedative	Expend
789	0315	Stimulant	Expend
790	0316	Goho-M	Expend
791	0317	Vanish Ball	Expend
792	0318	Soma	Expend
793	0319	Amrita Soda	Expend
794	031A	Hiranya	Expend
795	031B	Muscle Drink	Expend
796	031C	Odd Morsel	Expend
797	031D	Rancid Gravy	Expend
798	031E	Moon Tsukubame	Expend
799	031F	Magic Mirror	Expend
800	0320	Physical Mirror	Expend
801	0321	Assault Signal	Expend
802	0322	Super Sonic	Expend
803	0323	Diamond Shield	Expend
804	0324	Purifying Water	Expend
805	0325	Purifying Salt	Expend
806	0326	Firecracker	Expend
807	0327	San-zun Tama	Expend
808	0328	Ice Cube	Expend
809	0329	Dry Ice	Expend
810	032A	Pinwheel	Expend
811	032B	Yashichi	Expend
812	032C	Ball Lightning	Expend
813	032D	Tesla Coil	Expend
814	032E	Smart Bomb	Expend
815	032F	Segaki Rice	Expend
816	0330	Curse Paper	Expend
817	0331	Hell Magatama	Expend
818	0332	Cyclone Magatama	Expend
819	0333	Frost Magatama	Expend
820	0334	Arc Magatama	Expend
821	0335	Amethyst	Expend
822	0336	Aquamarine	Expend
823	0337	Emerald	Expend
824	0338	Onyx	Expend
825	0339	Opal	Expend
826	033A	Garnet	Expend
827	033B	Sapphire	Expend
828	033C	Diamond	Expend
829	033D	Turquoise	Expend
830	033E	Topaz	Expend
831	033F	Pearl	Expend
832	0340	Homunculus	Expend
833	0341	Chest Key	Expend|HF
834	0342	Junes Lunch	Expend
835	0343	Steak Skewer DX	Expend
836	0344	Amagi Manju	Expend
837	0345	Mom's Lunch	Expend
838	0346	Mini Mechavator	Expend
839	0347	Sample Food Set	Expend
