id	idh	d	idx	byte	bit	name
101	0065	BTL_MES_H105_066_001	65	32	4	Hey, Kanji, wake up! I said WAKE UP!
102	0066	BTL_MES_H105_067_001	66	33	0	Naoto-kun! Naoto-kun! C'mon, wake up!
103	0067	BTL_MES_H105_068_001	67	33	4	Teddie, wake up! Get a hold of yourself!
104	0068	BTL_MES_H105_069_001	68	34	0	Ack! Is everyone okay?
105	0069	BTL_MES_H105_070_001	69	34	4	Eek, ow! Senpai!?
106	006A	BTL_MES_H105_071_001	70	35	0	Yosuke-senpai, no!
107	006B	BTL_MES_H105_072_001	71	35	4	Chie-senpai, no!
108	006C	BTL_MES_H105_073_001	72	36	0	Yukiko-senpai, no!
109	006D	BTL_MES_H105_074_001	73	36	4	Kanji, no!
110	006E	BTL_MES_H105_075_001	74	37	0	Naoto-kun, no!
111	006F	BTL_MES_H105_076_001	75	37	4	Teddie, no!
112	0070	BTL_MES_H105_077_001	76	38	0	Ooh, awesome job, everyone! Great work!
113	0071	BTL_MES_H105_078_001	77	38	4	*squeal* Senpai! That was so cool!
114	0072	BTL_MES_H105_079_001	78	39	0	Ooh, nice move, Yosuke-senpai!
115	0073	BTL_MES_H105_080_001	79	39	4	Just what I'd expect, Chie-senpai! Whoo!
116	0074	BTL_MES_H105_081_001	80	40	0	That's amazing, Yukiko- senpai! Keep it up!
117	0075	BTL_MES_H105_082_001	81	40	4	Whoa, Kanji! That was great!
118	0076	BTL_MES_H105_083_001	82	41	0	Good move, Naoto-kun! You're on a roll!
119	0077	BTL_MES_H105_084_001	83	41	4	Hey, not bad, Teddie! Keep it up!
120	0078	BTL_MES_H105_085_001	84	42	0	Aw, it ran away! Four enemies remaining!
121	0079	BTL_MES_H105_086_001	85	42	4	The enemy's running away! We can do this!
122	007A	BTL_MES_H105_087_001	86	43	0	The enemy ran away! There's two left!
123	007B	BTL_MES_H105_088_001	87	43	4	The enemy ran away! Now's your chance!
124	007C	BTL_MES_H105_089_001	88	44	0	Hey, it ran away! The nerve of that thing!
125	007D	BTL_MES_H105_090_001	89	44	4	Gee, it's like an endless stream of 'em!
126	007E	BTL_MES_H105_091_001	90	45	0	It's calling backup! Hurry and defeat it!
127	007F	BTL_MES_H105_092_001	91	45	4	What, more of them!? Gee!
128	0080	BTL_MES_H105_093_001	92	46	0	What's its problem!? More incoming!
129	0081	BTL_MES_H105_094_001	93	46	4	*gasp* It got back up! Defeat it, fast!
130	0082	BTL_MES_H105_095_001	94	47	0	Th-That's not fair! It's healing itself!
131	0083	BTL_MES_H105_096_001	95	47	4	I think you can escape now! Are you ready?
132	0084	BTL_MES_H105_097_001	96	48	0	Yes, he came back! Yosuke-senpai's back!
133	0085	BTL_MES_H105_098_001	97	48	4	Alright! Welcome back, Chie-senpai!
134	0086	BTL_MES_H105_099_001	98	49	0	Alright, Yukiko- senpai's back!
135	0087	BTL_MES_H105_100_001	99	49	4	Kanji's back!
136	0088	BTL_MES_H105_101_001	100	50	0	Naoto-kun's back!
137	0089	BTL_MES_H105_102_001	101	50	4	Teddie came back!
138	008A	BTL_MES_H105_103_001	102	51	0	There's no opening for you to run away!
139	008B	BTL_MES_H105_104_001	103	51	4	Just hang on... I'll find you an opening!
140	008C	BTL_MES_H105_105_001	104	52	0	Get up, Senpai! Please get back up!
141	008D	BTL_MES_H105_106_001	105	52	4	Yosuke-senpai, get up!
142	008E	BTL_MES_H105_107_001	106	53	0	Chie-senpai's not coming to! Oh man...
143	008F	BTL_MES_H105_108_001	107	53	4	Yukiko-senpai can't get back up! C'mon...!
144	0090	BTL_MES_H105_109_001	108	54	0	C'mon, Kanji, look alive! Get back up!
145	0091	BTL_MES_H105_110_001	109	54	4	Naoto-kun's unconscious! Stay with us...!
146	0092	BTL_MES_H105_111_001	110	55	0	Teddie's unconscious! Get up, get up!
147	0093	BTL_MES_H105_112_001	111	55	4	Senpai, your offense has been lowered!
148	0094	BTL_MES_H105_113_001	112	56	0	Yosuke-senpai, your offense is down!
149	0095	BTL_MES_H105_114_001	113	56	4	Chie-senpai, your offense is down!
150	0096	BTL_MES_H105_115_001	114	57	0	Yukiko-senpai, your offense is down!
151	0097	BTL_MES_H105_116_001	115	57	4	Kanji, your offense has been lowered!
152	0098	BTL_MES_H105_117_001	116	58	0	Naoto-kun, your offense is down!
153	0099	BTL_MES_H105_118_001	117	58	4	Teddie, your offense has been lowered!
154	009A	BTL_MES_H105_119_001	118	59	0	Senpai, your defense has been lowered!
155	009B	BTL_MES_H105_120_001	119	59	4	Yosuke-senpai, your defense is down!
156	009C	BTL_MES_H105_121_001	120	60	0	Chie-senpai, your defense is down!
157	009D	BTL_MES_H105_122_001	121	60	4	Yukiko-senpai, your defense is down!
158	009E	BTL_MES_H105_123_001	122	61	0	Kanji, your defense has been lowered!
159	009F	BTL_MES_H105_124_001	123	61	4	Naoto-kun, your defense is down!
160	00A0	BTL_MES_H105_125_001	124	62	0	Teddie, your defense has been lowered!
161	00A1	BTL_MES_H105_126_001	125	62	4	Senpai, your agility has been lowered!
162	00A2	BTL_MES_H105_127_001	126	63	0	Yosuke-senpai, your agility is down!
163	00A3	BTL_MES_H105_128_001	127	63	4	Chie-senpai, your agility is down!
164	00A4	BTL_MES_H105_129_001	128	64	0	Yukiko-senpai, your agility is down!
165	00A5	BTL_MES_H105_130_001	129	64	4	Kanji, your agility has been lowered!
166	00A6	BTL_MES_H105_131_001	130	65	0	Naoto-kun, your agility is down!
167	00A7	BTL_MES_H105_132_001	131	65	4	Teddie, your agility has been lowered!
168	00A8	BTL_MES_H105_133_001	132	66	0	Five enemies left! Hang in there!
169	00A9	BTL_MES_H105_133_002	132	66	1	Five of 'em! You're outnumbered...!
170	00AA	BTL_MES_H105_134_001	133	66	4	Four enemies left! Don't give up!
171	00AB	BTL_MES_H105_134_002	133	66	5	Four of them! You need to thin 'em out!
172	00AC	BTL_MES_H105_135_001	134	67	0	Three enemies left! You can win this!
173	00AD	BTL_MES_H105_135_002	134	67	1	Three of 'em! Don't give up now, okay?
174	00AE	BTL_MES_H105_136_001	135	67	4	Two enemies left! Don't lower your guard now!
175	00AF	BTL_MES_H105_136_002	135	67	5	Just two left! C'mon, this fight's not over!
176	00B0	BTL_MES_H105_137_001	136	68	0	One enemy to go! Keep it up!
177	00B1	BTL_MES_H105_137_002	136	68	1	Last one! Go for it!
178	00B2	BTL_MES_H105_138_001	137	68	4	Careful, guys! You're really low on health!
179	00B3	BTL_MES_H105_139_001	138	69	0	Senpai, you're low on health! Be careful!
180	00B4	BTL_MES_H105_140_001	139	69	4	Um, Yosuke-senpai, your health is really low.
181	00B5	BTL_MES_H105_141_001	140	70	0	Guys, Chie-senpai's really hurt!
182	00B6	BTL_MES_H105_142_001	141	70	4	Shouldn't someone heal Yukiko-senpai...?
183	00B7	BTL_MES_H105_143_001	142	71	0	You okay there, Kanji? Don't strain yourself!
184	00B8	BTL_MES_H105_144_001	143	71	4	Naoto-kun's hurt pretty bad. Can you heal her?
185	00B9	BTL_MES_H105_145_001	144	72	0	Careful, guys, Teddie's health is pretty low.
186	00BA	BTL_MES_H105_146_001	145	72	4	Senpai! Snap out of it!
187	00BB	BTL_MES_H105_147_001	146	73	0	Senpai's been poisoned! Can someone cure him?
188	00BC	BTL_MES_H105_148_001	147	73	4	No, don't get scared! I'm with you!
189	00BD	BTL_MES_H105_149_001	148	74	0	Calm down, Senpai! Don't lose your cool!
190	00BE	BTL_MES_H105_150_001	149	74	4	Get up, Senpai! Please get up!
191	00BF	BTL_MES_H105_151_001	150	75	0	This feels wrong... Hang in there, Senpai!
192	00C0	BTL_MES_H105_152_001	151	75	4	Someone help Senpai!
193	00C1	BTL_MES_H105_153_001	152	76	0	Your Persona--!? Senpai, hang in there!
194	00C2	BTL_MES_H105_154_001	153	76	4	Whew, you're up! Time for a counterattack!
195	00C3	BTL_MES_H105_155_001	154	77	0	Yosuke-senpai's confused!
196	00C4	BTL_MES_H105_156_001	155	77	4	Chie-senpai's confused!
197	00C5	BTL_MES_H105_157_001	156	78	0	Yukiko-senpai's confused!
198	00C6	BTL_MES_H105_158_001	157	78	4	Kanji's confused! Someone help him!
199	00C7	BTL_MES_H105_159_001	158	79	0	Naoto-kun's confused! Can someone cure her?
200	00C8	BTL_MES_H105_160_001	159	79	4	Teddie's confused! Someone cure him!
201	00C9	BTL_MES_H105_161_001	160	80	0	Yosuke-senpai's poisoned!
202	00CA	BTL_MES_H105_162_001	161	80	4	Chie-senpai's poisoned!
203	00CB	BTL_MES_H105_163_001	162	81	0	Yukiko-senpai's poisoned!
204	00CC	BTL_MES_H105_164_001	163	81	4	Kanji's poisoned!
205	00CD	BTL_MES_H105_165_001	164	82	0	Uh-oh, Naoto-kun's poisoned!
206	00CE	BTL_MES_H105_166_001	165	82	4	Oh no, Teddie's poisoned!
207	00CF	BTL_MES_H105_166_001	165	82	5	Oh no, Teddie's poisoned!
208	00D0	BTL_MES_H105_167_001	166	83	0	Yosuke-senpai's scared!
209	00D1	BTL_MES_H105_168_001	167	83	4	Chie-senpai's scared!
210	00D2	BTL_MES_H105_169_001	168	84	0	Yukiko-senpai's scared!
211	00D3	BTL_MES_H105_170_001	169	84	4	No! Kanji's scared!
212	00D4	BTL_MES_H105_171_001	170	85	0	Naoto-kun's scared! Snap out of it!
213	00D5	BTL_MES_H105_172_001	171	85	4	Teddie's scared! Calm down!
214	00D6	BTL_MES_H105_173_001	172	86	0	Yosuke-senpai's lost it!
215	00D7	BTL_MES_H105_174_001	173	86	4	Yikes, Chie-senpai's completely lost it...
216	00D8	BTL_MES_H105_175_001	174	87	0	Wow, Yukiko-senpai's scary when she's mad...
217	00D9	BTL_MES_H105_176_001	175	87	4	*gasp* Kanji's gone berserk!
218	00DA	BTL_MES_H105_177_001	176	88	0	Naoto-kun's pissed off! Try to calm her down!
219	00DB	BTL_MES_H105_178_001	177	88	4	Teddie's totally pissed off! Calm down!
220	00DC	BTL_MES_H105_179_001	178	89	0	Yosuke-senpai is dizzy!
221	00DD	BTL_MES_H105_180_001	179	89	4	Chie-senpai's dizzy!
222	00DE	BTL_MES_H105_181_001	180	90	0	Yukiko-senpai's dizzy!
223	00DF	BTL_MES_H105_182_001	181	90	4	Kanji's dizzy! Snap him out of it!
224	00E0	BTL_MES_H105_183_001	182	91	0	Naoto-kun's unconscious!
225	00E1	BTL_MES_H105_184_001	183	91	4	Teddie's dizzy! Can you snap him out of it?
226	00E2	BTL_MES_H105_185_001	184	92	0	They've weakened Yosuke-senpai!
227	00E3	BTL_MES_H105_186_001	185	92	4	They've weakened Chie-senpai!
228	00E4	BTL_MES_H105_187_001	186	93	0	They've weakened Yukiko-senpai!
229	00E5	BTL_MES_H105_188_001	187	93	4	Ohh, this is bad! Kanji's useless!
230	00E6	BTL_MES_H105_189_001	188	94	0	Naoto-kun's weakened! Please help her!
231	00E7	BTL_MES_H105_190_001	189	94	4	Whoops... Teddie's gone boneless!
232	00E8	BTL_MES_H105_191_001	190	95	0	Yosuke-senpai's acting weird!
233	00E9	BTL_MES_H105_192_001	191	95	4	Chie-senpai's acting weird!
234	00EA	BTL_MES_H105_193_001	192	96	0	Yukiko-senpai's acting weird!
235	00EB	BTL_MES_H105_194_001	193	96	4	Kanji's acting weird! Can someone help him?
236	00EC	BTL_MES_H105_195_001	194	97	0	Naoto-kun's acting weird! Quick, help her!
237	00ED	BTL_MES_H105_196_001	195	97	4	Teddie's acting weird! You should help him!
238	00EE	BTL_MES_H105_197_001	196	98	0	Yosuke-senpai's Persona is sealed!
239	00EF	BTL_MES_H105_198_001	197	98	4	Chie-senpai's Persona is sealed!
240	00F0	BTL_MES_H105_199_001	198	99	0	Yukiko-senpai's Persona is sealed!
241	00F1	BTL_MES_H105_200_001	199	99	4	Kanji can't use his Persona!
242	00F2	BTL_MES_H105_201_001	200	100	0	Naoto-kun can't use her Persona now!
243	00F3	BTL_MES_H105_202_001	201	100	4	Poor Teddie's Persona is sealed!
244	00F4	BTL_MES_H105_203_001	202	101	0	Okay, gotcha!
245	00F5	BTL_MES_H105_204_001	203	101	4	Now's your chance! RUN!
246	00F6	BTL_MES_H105_205_001	204	102	0	Okay! I'll look for an opening!
247	00F7	BTL_MES_H105_206_001	205	102	4	I know! I'm still looking!
248	00F8	BTL_MES_H105_207_001	206	103	0	No good, I can't find you an opening...
249	00F9	BTL_MES_H105_208_001	207	103	4	This one's strong! Watch yourselves!
250	00FA	BTL_MES_H105_208_002	207	103	5	It's a strong one! Don't lower your guard!
251	00FB	BTL_MES_H105_209_001	208	104	0	It's weak to physical attacks! You can do it!
252	00FC	BTL_MES_H105_209_002	208	104	1	Don't worry, it's weak to physical attacks!
253	00FD	BTL_MES_H105_210_001	209	104	4	Fire is its weakness! Just keep at it!
254	00FE	BTL_MES_H105_210_002	209	104	5	Fire is its weakness! I know you can win!
255	00FF	BTL_MES_H105_211_001	210	105	0	Looks like it's weak to ice. You can win this!
256	0100	BTL_MES_H105_211_002	210	105	1	It seems weak to ice. It's strong, though!
257	0101	BTL_MES_H105_212_001	211	105	4	It's weak to wind! Don't let it get you!
258	0102	BTL_MES_H105_212_002	211	105	5	Whoa, it's a doozy! Wind is its weakness!
259	0103	BTL_MES_H105_213_001	212	106	0	Electricity is its weakness! Keep at it!
260	0104	BTL_MES_H105_213_002	212	106	1	You can beat it! It's weak to electricity!
261	0105	BTL_MES_H105_214_001	213	106	4	Light is its weakness! I believe in you!
262	0106	BTL_MES_H105_214_002	213	106	5	Whew, it's strong, but it's weak to Light!
263	0107	BTL_MES_H105_215_001	214	107	0	It's weak to Darkness! I know you can do it!
264	0108	BTL_MES_H105_215_002	214	107	1	This one's strong, but it's weak to Darkness!
265	0109	BTL_MES_H105_216_001	215	107	4	Physical attacks won't work on that thing!?
266	010A	BTL_MES_H105_216_002	215	107	5	Physical attacks won't work, so be careful!
267	010B	BTL_MES_H105_217_001	216	108	0	This one's strong! Fire won't work on it!
268	010C	BTL_MES_H105_217_002	216	108	1	Don't waste your time with fire attacks!
269	010D	BTL_MES_H105_218_001	217	108	4	Ngh, ice won't work on it! Be careful!
270	010E	BTL_MES_H105_218_002	217	108	5	It's a strong one... Don't bother using ice!
271	010F	BTL_MES_H105_219_001	218	109	0	You can forget about using wind attacks!
272	0110	BTL_MES_H105_219_002	218	109	1	It's a tough one... Wind won't work on it.
273	0111	BTL_MES_H105_220_001	219	109	4	It's really strong... Don't use electricity!
274	0112	BTL_MES_H105_220_002	219	109	5	Electricity won't work! Be careful!
275	0113	BTL_MES_H105_221_001	220	110	0	This one's strong, and Light won't work!
276	0114	BTL_MES_H105_221_002	220	110	1	Light won't work! Watch yourselves!
277	0115	BTL_MES_H105_222_001	221	110	4	Darkness won't work! Look out--it's strong!
278	0116	BTL_MES_H105_222_002	221	110	5	That's a tough one! Darkness won't work...
279	0117	BTL_MES_H105_223_001	222	111	0	Ahh, it's a no-brainer. I'm sure you'll win!
280	0118	BTL_MES_H105_223_002	222	111	1	That one's totally weak! Better not lose!
281	0119	BTL_MES_H105_224_001	223	111	4	It's weak to physical attacks! Beat it down!
282	011A	BTL_MES_H105_224_002	223	111	5	It's weak to physical attacks! You can do it!
283	011B	BTL_MES_H105_225_001	224	112	0	It's weak to fire! This should be easy!
284	011C	BTL_MES_H105_225_002	224	112	1	Let's see... This enemy's weak to fire!
285	011D	BTL_MES_H105_226_001	225	112	4	Ice is its weakness! You can beat this one!
286	011E	BTL_MES_H105_226_002	225	112	5	Hmm, this one's weak to ice!
287	011F	BTL_MES_H105_227_001	226	113	0	You can win this! Blast it with wind!
288	0120	BTL_MES_H105_227_002	226	113	1	Ooh, this enemy's weakness is wind!
289	0121	BTL_MES_H105_228_001	227	113	4	Electricity should do the trick! Good luck!
290	0122	BTL_MES_H105_228_002	227	113	5	This one's beary weak against electricity!
291	0123	BTL_MES_H105_229_001	228	114	0	Light works well on this one! You can win!
292	0124	BTL_MES_H105_229_002	228	114	1	This enemy's weakness is Light!
293	0125	BTL_MES_H105_230_001	229	114	4	Don't give up! Try using Darkness on it!
294	0126	BTL_MES_H105_230_002	229	114	5	This enemy's weak to Darkness!
295	0127	BTL_MES_H105_231_001	230	115	0	What a pain... Physical attacks won't work!
296	0128	BTL_MES_H105_231_002	230	115	1	Physical attacks are useless on this one!
297	0129	BTL_MES_H105_232_001	231	115	4	Fire's no good on this one!
298	012A	BTL_MES_H105_232_002	231	115	5	You can win this, just don't use fire attacks!
299	012B	BTL_MES_H105_233_001	232	116	0	Forget ice attacks! Just do your best!
300	012C	BTL_MES_H105_233_002	232	116	1	Ice won't work on this enemy!
301	012D	BTL_MES_H105_234_001	233	116	4	Wind won't work, huh? Try something else...
302	012E	BTL_MES_H105_234_002	233	116	5	Wind's useless on this enemy!
303	012F	BTL_MES_H105_235_001	234	117	0	Electricity's busted, but don't give up!
304	0130	BTL_MES_H105_235_002	234	117	1	Electricity just won't work on this enemy!
305	0131	BTL_MES_H105_236_001	235	117	4	Careful! Light won't do anything to it!
306	0132	BTL_MES_H105_236_002	235	117	5	Light won't work on this enemy!
307	0133	BTL_MES_H105_237_001	236	118	0	Careful, guys! Don't use Darkness on it!
308	0134	BTL_MES_H105_237_002	236	118	1	Darkness won't work on this enemy!
309	0135	BTL_MES_H105_238_001	237	118	4	Wow, it's puny! This'll be cake!
310	0136	BTL_MES_H105_238_002	237	118	5	Noooo problem! It'll be over in a flash!
311	0137	BTL_MES_H105_239_001	238	119	0	Ooh, it's weak to physical attacks!
312	0138	BTL_MES_H105_239_002	238	119	1	It's weak to physical attacks! Piece o' cake!
313	0139	BTL_MES_H105_240_001	239	119	4	It's weak to fire! Haha, this'll be easy!
314	013A	BTL_MES_H105_240_002	239	119	5	This one's a gimme! It's weak to fire!
315	013B	BTL_MES_H105_241_001	240	120	0	It's weak to ice! This'll be easy!
316	013C	BTL_MES_H105_241_002	240	120	1	Ice should work well! You can win this, guys!
317	013D	BTL_MES_H105_242_001	241	120	4	Wind will work on it! Go to town, guys!
318	013E	BTL_MES_H105_242_002	241	120	5	It's weak to wind! This'll be a breeze!
319	013F	BTL_MES_H105_243_001	242	121	0	Electricity will work! This'll be easy!
320	0140	BTL_MES_H105_243_002	242	121	1	Haha, it's so puny! Use electricity on it!
321	0141	BTL_MES_H105_244_001	243	121	4	Light will work on it! This should be a snap!
322	0142	BTL_MES_H105_244_002	243	121	5	It's weak to Light! Beat it and move on!
323	0143	BTL_MES_H105_245_001	244	122	0	Darkness will work! This'll be an easy win!
324	0144	BTL_MES_H105_245_002	244	122	1	It's weak to Darkness! Go on, defeat it!
325	0145	BTL_MES_H105_246_001	245	122	4	Physical attacks won't work on THAT runt!?
326	0146	BTL_MES_H105_246_002	245	122	5	Physical attacks won't work! What a pain...!
327	0147	BTL_MES_H105_247_001	246	123	0	Fire won't work. Try something else instead!
328	0148	BTL_MES_H105_247_002	246	123	1	You can win this, just don't use fire on it!
329	0149	BTL_MES_H105_248_001	247	123	4	Ice won't work, so try another attack!
330	014A	BTL_MES_H105_248_002	247	123	5	You can win this, but not by using ice!
331	014B	BTL_MES_H105_249_001	248	124	0	Wind won't work. Got anything else?
332	014C	BTL_MES_H105_249_002	248	124	1	You can win this! Just give wind a rest, okay?
